"stop_id","stop_name","stop_lat","stop_lon","source_table","bus_lines"
100102,"GRAND CONCOURSE/E 192 ST","40.863998","-73.896255","bronx","['BX1', 'BX2']"
100103,"GRAND CONCOURSE/E FORDHAM RD","40.862236","-73.897545","bronx","['BX1', 'BX2', 'BXM4']"
100107,"GRAND CONCOURSE/E 182 ST","40.85582","-73.90123","bronx","['BX1', 'BX2']"
100108,"GRAND CONCOURSE/E 181 ST","40.854279","-73.902428","bronx","['BX1', 'BX2']"
100109,"GRAND CONCOURSE/E BURNSIDE AV","40.852654","-73.903732","bronx","['BX1', 'BX2', 'BXM4']"
100110,"GRAND CONCOURSE/E 179 ST","40.85125","-73.904869","bronx","['BX1', 'BX2']"
100112,"GRAND CONCOURSE/MORRIS AV","40.846302","-73.90995","bronx","['BX1', 'BX2']"
100113,"GRAND CONCOURSE/E 174 ST","40.84486","-73.911552","bronx","['BX1', 'BX2']"
100114,"GRAND CONCOURSE/E MT EDEN AV","40.842907","-73.912308","bronx","['BX1', 'BX2']"
100115,"GRAND CONCOURSE/E 172 ST","40.840637","-73.913071","bronx","['BX1', 'BX2']"
100117,"GRAND CONCOURSE/E CLARKE PL","40.836746","-73.915848","bronx","['BX1', 'BX2']"
100118,"GRAND CONCOURSE/E 167 ST","40.834229","-73.918304","bronx","['BX1', 'BX2']"
100119,"GRAND CONCOURSE/MC CLELLAN ST","40.833256","-73.919212","bronx","['BX1', 'BX2']"
100126,"MELROSE AV/E 158 ST","40.822025","-73.915092","bronx","['BX41']"
100129,"MELROSE AV/E 152 ST","40.817928","-73.91703","bronx","['BX41']"
100131,"GRAND CONCOURSE/E 165 ST","40.831173","-73.920601","bronx","['BX1', 'BX2', 'BXM4']"
100132,"GRAND CONCOURSE/E 163 ST","40.828369","-73.922157","bronx","['BX1', 'BX2']"
100133,"GRAND CONCOURSE/E 161 ST","40.826286","-73.923134","bronx","['BX1', 'BX2']"
100134,"GRAND CONCOURSE/E 158 ST","40.825108","-73.923836","bronx","['BX1', 'BX2', 'BXM4']"
100135,"GRAND CONCOURSE/E 156 ST","40.82312","-73.924751","bronx","['BX1', 'BX2']"
100136,"GRAND CONCOURSE/E 153 ST","40.821209","-73.925987","bronx","['BX1', 'BX2']"
100138,"GRAND CONCOURSE/E 149 ST","40.818752","-73.927422","bronx","['BX1']"
100139,"GRAND CONCOURSE/E 144 ST","40.816181","-73.928513","bronx","['BX1']"
100140,"GRAND CONCOURSE/E 138 ST","40.813484","-73.930283","bronx","['BX1']"
100148,"UNIVERSITY AV/N OF WASHINGTON BDG","40.846039","-73.921471","bronx","['BX36', 'BX3']"
100149,"UNIVERSITY AV/W 174 ST","40.846943","-73.920189","bronx","['BX36', 'BX3']"
100151,"UNIVERSITY AV/W 176 ST","40.849297","-73.917015","bronx","['BX36', 'BX3', 'BX18']"
100152,"UNIVERSITY AV/W TREMONT AV","40.850243","-73.915443","bronx","['BX36', 'BX3']"
100153,"UNIVERSITY AV/MORTON PL","40.852184","-73.913574","bronx","['BX3']"
100154,"UNIVERSITY AV/W BURNSIDE AV #1","40.853577","-73.912247","bronx","['BX3']"
100155,"UNIVERSITY AV/W BURNSIDE AV","40.854664","-73.911194","bronx","['BX3', 'BX42', 'BX40']"
100156,"UNIVERSITY AV/W 181 ST","40.857433","-73.909622","bronx","['BX3']"
100157,"UNIVERSITY AV/W 183 ST","40.859821","-73.90744","bronx","['BX3']"
100158,"UNIVERSITY AV/W 183 ST","40.861176","-73.90625","bronx","['BX3']"
100159,"UNIVERSITY AV/W FORDHAM RD","40.862915","-73.904755","bronx","['BX3']"
100161,"UNIVERSITY AV/W 190 ST","40.86552","-73.903038","bronx","['BX3']"
100162,"UNIVERSITY AV/W 192 ST","40.867222","-73.901764","bronx","['BX3']"
100164,"W KINGSBRIDGE RD/SEDGWICK AV","40.869541","-73.903603","bronx","['BX9', 'BX3']"
100165,"SEDGWICK AV/W 195 ST","40.870705","-73.902504","bronx","['BX3']"
100166,"SEDGWICK AV/W 197 ST","40.872787","-73.901962","bronx","['BX3', 'BXM3']"
100167,"SEDGWICK AV/W 229 ST","40.873611","-73.90168","bronx","['BX3']"
100169,"FT INDEPENDENCE/GILES PL","40.878639","-73.898994","bronx","['BX3']"
100170,"FT INDEPENDENCE ST/BAILEY PL","40.880714","-73.899078","bronx","['BX3']"
100171,"W 238 ST/ORLOFF AV","40.883003","-73.897774","bronx","['BX3']"
100172,"W 238 ST/BAILEY AV","40.884296","-73.89827","bronx","['BX3']"
100173,"W 238 ST/BROADWAY","40.885086","-73.900436","bronx","['BX3']"
100176,"W 238 ST/BROADWAY","40.884968","-73.900475","bronx","['BX3']"
100177,"W 238 ST/BAILEY AV","40.884071","-73.898232","bronx","['BX3']"
100178,"W 238 ST/ORLOFF AV","40.882504","-73.89814","bronx","['BX3']"
100179,"FT INDEPENDENCE ST/BAILEY PL","40.881016","-73.8992","bronx","['BX3']"
100180,"FT INDEPENDENCE ST/HEATH AV","40.878971","-73.899689","bronx","['BX3']"
100182,"SEDGWICK AV/W 229 ST","40.873417","-73.901932","bronx","['BX3']"
100183,"SEDGWICK AV/W 197 ST","40.8722","-73.902328","bronx","['BX3', 'BXM3']"
100184,"SEDGWICK AV/W 195 ST","40.870312","-73.902954","bronx","['BX3']"
100187,"UNIVERSITY AV/W 192 ST","40.867104","-73.902084","bronx","['BX3']"
100188,"UNIVERSITY AV/W 190 ST","40.865082","-73.903603","bronx","['BX3']"
100189,"UNIVERSITY AV/W FORDHAM RD","40.862915","-73.904953","bronx","['BX3']"
100191,"UNIVERSITY AV/W 183 ST","40.859386","-73.908119","bronx","['BX3']"
100195,"UNIVERSITY AV/W TREMONT AV","40.85043","-73.915726","bronx","['BX36', 'BX3', 'BX18']"
100197,"UNIVERSITY AV/W 176 ST","40.848679","-73.918098","bronx","['BX36', 'BX3']"
100198,"UNIVERSITY AV/W 174 ST","40.846844","-73.920792","bronx","['BX36', 'BX3']"
100199,"UNIVERSITY AV/WASHINGTON BRIDGE","40.84531","-73.922462","bronx","['BX36', 'BX3']"
100204,"WESTCHESTER AV/ST ANNS AV","40.815952","-73.912163","bronx","['BX4', 'BX4A']"
100206,"WESTCHESTER AV/JACKSON AV","40.816113","-73.908356","bronx","['BX4', 'BX4A']"
100207,"WESTCHESTER AV/E 156 ST","40.817829","-73.905426","bronx","['BX4', 'BX4A']"
100209,"WESTCHESTER AV/PROSPECT AV","40.819412","-73.902023","bronx","['BX4', 'BX4A']"
100211,"WESTCHESTER AV/REV J POLITE AV","40.8209","-73.899139","bronx","['BX4', 'BX4A']"
100212,"WESTCHESTER AV/INTERVALE AV","40.821941","-73.897087","bronx","['BX4', 'BX4A']"
100213,"WESTCHESTER AV/TIFFANY ST","40.82299","-73.895065","bronx","['BX4', 'BX4A']"
100214,"WESTCHESTER AV/SIMPSON ST","40.823975","-73.893097","bronx","['BX4', 'BX4A']"
100216,"WESTCHESTER AV/HOE AV","40.825314","-73.890511","bronx","['BX27']"
100218,"WESTCHESTER AV/LONGFELLOW AV","40.826733","-73.887756","bronx","['BX27']"
100219,"WESTCHESTER AV/WHITLOCK AV","40.827496","-73.886276","bronx","['BX27', 'BX4', 'BX4A']"
100220,"WESTCHESTER AV/EVERGREEN AV","40.828373","-73.881172","bronx","['BX27']"
100221,"WESTCHESTER AV/ELDER AV","40.828514","-73.879318","bronx","['BX27', 'BX4', 'BX4A']"
100222,"WESTCHESTER AV/WARD AV","40.828674","-73.877464","bronx","['BX27']"
100223,"WESTCHESTER AV/MANOR AV","40.828957","-73.876236","bronx","['BX4', 'BX4A']"
100224,"WESTCHESTER AV/MORRISON AV","40.829338","-73.874763","bronx","['BX4', 'BX4A']"
100225,"WESTCHESTER AV/CROES AV","40.830433","-73.871124","bronx","['BX4', 'BX4A']"
100227,"WESTCHESTER AV/ST LAWRENCE AV","40.831402","-73.867516","bronx","['BX4', 'BX4A']"
100229,"WESTCHESTER AV/THIERIOT AV","40.832191","-73.864754","bronx","['BX4', 'BX4A']"
100230,"WESTCHESTER AV/WHITE PLAINS RD","40.832779","-73.862938","bronx","['BX4', 'BX4A']"
100232,"WESTCHESTER AV/PUGSLEY AV","40.833435","-73.857986","bronx","['BX4']"
100233,"WESTCHESTER AV/OLMSTEAD AV","40.833786","-73.854401","bronx","['BX4']"
100234,"WESTCHESTER AV/CASTLE HILL AV","40.834049","-73.851807","bronx","['BX4']"
100235,"WESTCHESTER AV/ZEREGA AV","40.836571","-73.84668","bronx","['BX4']"
100236,"WESTCHESTER AV/ST PETERS AV","40.838375","-73.844604","bronx","['BX4']"
100239,"WESTCHESTER AV/ST PETERS AV","40.838696","-73.844551","bronx","['BX4']"
100240,"WESTCHESTER AV/ZEREGA AV","40.836967","-73.846642","bronx","['BX4']"
100242,"WESTCHESTER AV/CASTLE HILL AV","40.834286","-73.851471","bronx","['BX4']"
100243,"WESTCHESTER AV/OLMSTEAD AV","40.834011","-73.854454","bronx","['BX4']"
100244,"WESTCHESTER AV/PUGSLEY AV","40.833633","-73.857597","bronx","['BX4']"
100245,"HUGH GRANT CIR/METROPOLITAN AV","40.833603","-73.861153","bronx","['BX4', 'BX4A']"
100246,"WESTCHESTER AV/WHITE PLAINS RD","40.833122","-73.862534","bronx","['BX4', 'BX4A']"
100247,"WESTCHESTER AV/THIERIOT AV","40.832481","-73.864456","bronx","['BX4', 'BX4A']"
100249,"WESTCHESTER AV/ST LAWRENCE AV","40.831741","-73.867065","bronx","['BX4', 'BX4A']"
100253,"WESTCHESTER AV/MORRISON AV","40.82962","-73.874496","bronx","['BX4', 'BX4A']"
100254,"WESTCHESTER AV/MANOR AV","40.82906","-73.876312","bronx","['BX27', 'BX4', 'BX4A']"
100255,"WESTCHESTER AV/BOYNTON AV","40.828732","-73.87812","bronx","['BX27']"
100256,"WESTCHESTER AV/ELDER AV","40.828651","-73.879059","bronx","['BX27', 'BX4', 'BX4A']"
100257,"WESTCHESTER AV/EVERGREEN AV","40.828491","-73.880936","bronx","['BX27']"
100258,"WESTCHESTER AV/BRONX RIVER AV","40.828358","-73.882736","bronx","['BX27']"
100259,"WESTCHESTER AV/HOME ST","40.827469","-73.886604","bronx","['BX27', 'BX4', 'BX4A']"
100260,"WESTCHESTER AV/HOE AV","40.825203","-73.891113","bronx","['BX4', 'BX4A']"
100261,"WESTCHESTER AV/SIMPSON ST","40.824326","-73.892776","bronx","['BX4', 'BX4A']"
100262,"WESTCHESTER AV/TIFFANY ST","40.823288","-73.894722","bronx","['BX4', 'BX4A']"
100264,"WESTCHESTER AV/E 163 ST","40.821251","-73.898827","bronx","['BX4', 'BX4A']"
100265,"WESTCHESTER AV/PROSPECT AV","40.819923","-73.901222","bronx","['BX4', 'BX4A']"
100266,"WESTCHESTER AV/UNION AV","40.818958","-73.903099","bronx","['BX4']"
100267,"WESTCHESTER AV/TINTON AV","40.818207","-73.9048","bronx","['BX4', 'BX4A']"
100268,"WESTCHESTER AV/JACKSON AV","40.816513","-73.907906","bronx","['BX4', 'BX4A']"
100270,"WESTCHESTER AV/ST ANNS AV","40.816074","-73.911728","bronx","['BX4', 'BX4A']"
100273,"SOUTHERN BL/WESTCHESTER AV","40.823673","-73.891945","bronx","['BX19', 'BX5']"
100275,"STORY AV/BRONX RIVER AV","40.821037","-73.881721","bronx","['BX5']"
100276,"STORY AV/COLGATE AV","40.821281","-73.87986","bronx","['BX5']"
100277,"STORY AV/ELDER AV","40.821564","-73.877731","bronx","['BX5']"
100278,"STORY AV/BOYNTON AV","40.821789","-73.87606","bronx","['BX5']"
100279,"STORY AV/MORRISON AV","40.822193","-73.8731","bronx","['BX5']"
100280,"STORY AV/METCALF AV","40.822548","-73.870529","bronx","['BX5']"
100281,"STORY AV/NOBLE AV","40.822842","-73.868301","bronx","['BX5']"
100282,"STORY AV/ROSEDALE AV","40.82309","-73.866508","bronx","['BX5']"
100283,"STORY AV/TAYLOR AV","40.823456","-73.86367","bronx","['BX5']"
100284,"STORY AV/THIERIOT AV","40.823673","-73.862106","bronx","['BX5']"
100294,"BRUCKNER BL/E TREMONT AV","40.83316","-73.827591","bronx","['Q50', 'BX5', 'BXM8']"
100295,"BRUCKNER BL/LOGAN AV","40.834137","-73.82563","bronx","['BX5']"
100296,"BRUCKNER BL/KEARNEY AV","40.839142","-73.824852","bronx","['Q50', 'BX5']"
100297,"BRUCKNER BL/CONNELL PL","40.841064","-73.825096","bronx","['BXM8', 'BX5']"
100298,"BRUCKNER BL/COUNTRY CLUB RD","40.842503","-73.825111","bronx","['Q50', 'BX5']"
100299,"BRUCKNER BL/MIDDLETOWN RD","40.845753","-73.825394","bronx","['BX24', 'BX5']"
100304,"PELHAM PKWY/EASTCHESTER RD","40.857883","-73.844162","bronx","['BX12+', 'BX12']"
100305,"PELHAM PKWY/SEYMOUR AV","40.858109","-73.846375","bronx","['BX12']"
