next_scheduled_stop_id,speed,vehicle_id
302368,11.5022548458,3967
302945,0.0,3967
302947,4.80139223534,3967
302948,0.451601981936,3967
303021,14.3163245027,3967
303024,20.7425934921,3967
303026,6.44782895225,3967
303027,9.01239942858,3967
303032,12.8139031851,3967
303034,8.61678215299,3967
303039,7.72667174302,3967
303040,0.0,3967
303041,0.0,3967
303043,10.3861131575,3967
306395,0.0600041109769,3967
306465,19.7752797764,3967
307460,6.71271572603,3967
307491,0.878670443399,3967
504230,4.6350764162,3967
504231,0.0,3967
504232,0.0,3967
504233,0.0,3967
504234,0.0,3967
504236,0.0,3967
504238,12.4066883616,3967
504239,6.30389748811,3967
302368,0.000826803542267,3970
302945,0.0183479667954,3970
302947,0.0234572190742,3970
302948,0.0109790351322,3970
303017,11.6540168566,3970
303019,7.56482067847,3970
303021,0.00965722090851,3970
303022,0.0,3970
303023,10.2177268176,3970
303024,0.020320454031,3970
303026,0.0225653557834,3970
303027,0.055548412429,3970
303028,0.0,3970
303029,4.03900857258,3970
303030,0.0,3970
303032,-0.00778814026126,3970
303033,6.84034657723,3970
303034,0.00533847539688,3970
303035,-1.98534474954e-05,3970
303039,0.0347046555253,3970
303040,0.00714405116302,3970
303041,0.0278574157632,3970
303042,5.82852835847,3970
303043,0.0251262594534,3970
303044,13.7232176325,3970
306395,0.027410614001,3970
306465,11.6987579403,3970
307460,0.0605488676775,3970
307491,0.0226200518984,3970
503883,0.0,3970
503884,24.1995641734,3970
503885,0.158285786775,3970
504229,0.0,3970
504230,-0.0152987894059,3970
504232,16.3306298933,3970
504233,0.0,3970
504234,0.0,3970
504236,3.50847106565,3970
504237,0.0,3970
504238,0.0,3970
504239,0.0201890269641,3970
504240,0.0,3970
801068,0.0,3970
302368,0.00119584020201,3976
302945,0.0762866138203,3976
302947,0.0732304144359,3976
302948,0.0190349992386,3976
303011,0.0,3976
303017,0.0,3976
303020,3.16118848839,3976
303021,15.6468728884,3976
303024,-0.218313406662,3976
303025,0.0,3976
303026,9.87508064728,3976
303027,8.31923541179,3976
303028,5.10273964097,3976
303029,5.62575339069,3976
303030,0.0,3976
