,id,length,speed
79,MTA NYCT_B11-B110028-1,0.00380051829295,4.21566667155
80,MTA NYCT_B11-B110028-10,0.00256359060906,4.0009267786
81,MTA NYCT_B11-B110028-11,0.00256833187268,2.98290571222
82,MTA NYCT_B11-B110028-12,0.00109916538256,1.58264718569
83,MTA NYCT_B11-B110028-13,0.00148428261236,2.67295972728
84,MTA NYCT_B11-B110028-14,0.00271140300348,3.28401587563
85,MTA NYCT_B11-B110028-15,0.00254541395833,3.13889227882
86,MTA NYCT_B11-B110028-16,0.00241295322507,3.34069350988
87,MTA NYCT_B11-B110028-17,0.00263916808714,3.65371589633
88,MTA NYCT_B11-B110028-18,0.00255068620338,3.48369095811
89,MTA NYCT_B11-B110028-19,0.00289626833085,4.25919322591
90,MTA NYCT_B11-B110028-2,0.00322744656753,6.17112573642
91,MTA NYCT_B11-B110028-20,0.00240822820993,2.33913614608
92,MTA NYCT_B11-B110028-21,0.0027101718963,5.20929756296
93,MTA NYCT_B11-B110028-22,0.00199628885733,2.66295427088
94,MTA NYCT_B11-B110028-23,0.0019428576523,2.00707106317
95,MTA NYCT_B11-B110028-24,0.00203592452943,3.59493288926
96,MTA NYCT_B11-B110028-25,0.00242232951753,2.19395681547
97,MTA NYCT_B11-B110028-26,0.00218213221538,4.43073868664
98,MTA NYCT_B11-B110028-27,0.00199766142329,3.02230729411
99,MTA NYCT_B11-B110028-28,0.00201085667144,2.30052479507
100,MTA NYCT_B11-B110028-29,0.00292879656913,3.05734333269
101,MTA NYCT_B11-B110028-3,0.00293509723848,2.89125135048
102,MTA NYCT_B11-B110028-30,0.0036744398775,4.291396255
103,MTA NYCT_B11-B110028-31,0.00243805615948,4.14832711136
104,MTA NYCT_B11-B110028-32,0.00197946970825,2.5307630126
105,MTA NYCT_B11-B110028-33,0.00214009376341,3.89690408198
106,MTA NYCT_B11-B110028-34,0.00275850227436,3.51074555777
107,MTA NYCT_B11-B110028-35,0.00226706961472,5.47082345062
108,MTA NYCT_B11-B110028-36,0.00377269535136,7.24031304778
109,MTA NYCT_B11-B110028-37,0.00111765961036,2.11585126404
110,MTA NYCT_B11-B110028-38,0.00345649407396,3.90867758544
111,MTA NYCT_B11-B110028-39,0.0034442430332,3.53080762644
112,MTA NYCT_B11-B110028-4,0.00152664240114,1.38112977821
113,MTA NYCT_B11-B110028-40,0.00179841113257,1.04881884463
114,MTA NYCT_B11-B110028-5,0.00232143592855,4.19355278206
115,MTA NYCT_B11-B110028-6,0.00257219401325,2.02221238712
116,MTA NYCT_B11-B110028-7,0.00257840140714,3.30259503292
117,MTA NYCT_B11-B110028-8,0.00258690475911,4.64585360541
118,MTA NYCT_B11-B110028-9,0.00254726410421,3.32151531703
119,MTA NYCT_B11-B110029-1,0.00257840140714,4.72464482862
120,MTA NYCT_B11-B110029-10,0.00241295322507,2.49413316986
121,MTA NYCT_B11-B110029-11,0.00263916808714,2.30209493636
122,MTA NYCT_B11-B110029-12,0.00255068620338,3.620810376
123,MTA NYCT_B11-B110029-13,0.00289626833085,5.06189420119
124,MTA NYCT_B11-B110029-14,0.00240822820993,3.04894840665
125,MTA NYCT_B11-B110029-15,0.0027101718963,10.4616754227
126,MTA NYCT_B11-B110029-16,0.00199628885733,3.4505925418
127,MTA NYCT_B11-B110029-17,0.0019428576523,3.49503228604
