route_id,trip_id,shape_id
B82,EN_B5-Weekday-042300_B82_117,B820199
B82,EN_B5-Weekday-036300_B82_118,B820206
B82,EN_B5-Weekday-045600_B82_120,B820200
B82,EN_B5-Weekday-054000_B82_120,B820203
B82,EN_B5-Weekday-063600_B82_120,B820199
B82,EN_B5-Weekday-071000_B82_135,B820202
B82,EN_B5-Weekday-081500_B82_144,B820199
B82,EN_B5-Weekday-090500_B82_144,B820206
B82,EN_B5-Weekday-100700_B82_162,B820200
B82,EN_B5-Weekday-111300_B82_145,B820202
B82,EN_B5-Weekday-122400_B82_157,B820199
B82,EN_B5-Weekday-035700_B82_117,B820205
B82,EN_B5-Weekday-043100_B82_119,B820199
B82,EN_B5-Weekday-037000_B82_120,B820206
B82,EN_B5-Weekday-046400_B82_104,B820200
B82,EN_B5-Weekday-036700_B82_119,B820205
B82,EN_B5-Weekday-043900_B82_122,B820199
B82,EN_B5-Weekday-037700_B82_122,B820205
B82,EN_B5-Weekday-044700_B82_124,B820199
B82,EN_B5-Weekday-038400_B82_123,B820206
B82,EN_B5-Weekday-048000_B82_125,B820200
B82,EN_B5-Weekday-056000_B82_103,B820203
B82,EN_B5-Weekday-065600_B82_103,B820199
B82,EN_B5-Weekday-074100_B82_138,B820206
B82,EN_B5-Weekday-084600_B82_140,B820200
B82,EN_B5-Weekday-094900_B82_149,B820206
B82,EN_B5-Weekday-105000_B82_130,B820200
B82,EN_B5-Weekday-114500_B82_166,B820202
B82,EN_B5-Weekday-124700_B82_162,B820198
B82,EN_B5-Weekday-038600_B82_124,B820205
B82,EN_B5-Weekday-045600_B82_126,B820199
B82,EN_B5-Weekday-039000_B82_125,B820206
B82,EN_B5-Weekday-048700_B82_105,B820200
B82,EN_B5-Weekday-039400_B82_126,B820205
B82,EN_B5-Weekday-046600_B82_128,B820199
B82,EN_B5-Weekday-055000_B82_128,B820202
B82,EN_B5-Weekday-065600_B82_128,B820198
B82,EN_B5-Weekday-075000_B82_140,B820206
B82,EN_B5-Weekday-085600_B82_149,B820200
B82,EN_B5-Weekday-106600_B82_161,B820199
B82,EN_B5-Weekday-041000_B82_103,B820205
