ID,TIME,DISTANCE,SPEED
302368,94.75789474,0.0919283,3.492499289
302945,159.7736842,0.122718,2.765066113
302947,74.41578947,0.145373,7.032684914
302948,101.0721649,0.100638,3.584535865
303017,34.98058252,0.180382,18.56387611
303019,36.81,0.131895,12.8992665
303020,31.93670886,0.151981,17.13174649
303021,55.51829268,0.159267,10.32742853
303022,43.55660377,0.157305,13.0014269
303023,33.86,0.157273,16.72128766
303024,78.18333333,0.150329,6.9219919
303025,29.67961165,0.115115,13.96291855
303026,84.36597938,0.14594,6.227439115
303027,92.265625,0.19731,7.698598476
303028,44.05309735,0.169438,13.84639984
303029,49.99137931,0.150371,10.828579
303030,43.56637168,0.151125,12.48784278
303032,56.06735751,0.155587,9.990005324
303033,43.75675676,0.155627,12.80390142
303034,60.54237288,0.155195,9.228280515
303035,24.24390244,0.0494848,7.348044748
303036,47.26595745,0.0825304,6.285907576
303037,40.35897436,0.145419,12.97130089
303038,17.13253012,0.0869437,18.26918253
303039,124.3854167,0.177486,5.136852993
303040,26.67088608,0.0947232,12.78560896
303041,55.69354839,0.155943,10.08006881
303042,27.28703704,0.250976,33.1114587
303043,63.74210526,0.136996,7.737202874
303044,36.70588235,0.103307,10.13203269
306395,70.37435897,0.126118,6.451565693
306465,98.84102564,0.150399,5.477850887
307460,313.6692913,0.318551,3.656027644
307491,54.98360656,0.117695,7.705969588
503883,33.79310345,0.0962919,10.25803506
503884,35.17333333,0.283241,28.98979151
503884,35.17333333,0.48534,49.67467779
503885,833.5789474,0.151129,0.65268491
504229,20.94623656,0.0915373,15.73238606
504230,55.32786885,0.159678,10.3897152
504231,19.94326241,0.0866524,15.64180592
504232,47.11578947,0.147707,11.28592359
504233,21.24324324,0.0960603,16.27892107
504234,38.54444444,0.100479,9.384605363
504236,35.32911392,0.120028,12.23072849
504237,23.38028169,0.0994181,15.30799178
504238,118.125,0.0986847,3.007533714
504239,365.6785714,0.115162,1.133736654
504241,423.6,0.0144059,0.122429745
801068,116.1627907,0.0894097,2.770895207
