504238	3680
504239	2712
503885	1736
503885	1608
503885	1360
503885	1316
503885	1292
307460	1256
503885	1218
503885	1218
307460	1208
307460	1205
503885	1197
307460	1182
307460	1178
504239	1173
503885	1156
307460	1144
504239	1141
503885	1138
503885	1111
307460	1107
504239	1104
503885	1096
503885	1076
504239	1076
503885	1070
503885	1069
504239	1045
504239	1010
504239	1009
503885	1006
307460	981
504238	981
503885	978
503885	978
503885	976
504238	974
504241	927
307460	911
504239	908
503885	898
504239	895
303041	861
504239	850
503885	850
503885	847
503885	842
504239	822
503885	822
504239	822
307460	820
503885	819
303041	815
504239	770
307460	759
503885	757
504241	728
801068	725
504241	722
307460	697
801068	695
801068	694
307460	693
503885	693
503885	690
307460	679
307460	652
504239	632
503885	631
503885	599
307460	596
801068	573
504241	571
307460	569
307460	562
307460	561
504239	560
303011	541
801068	540
504239	510
504239	505
504241	504
504241	499
504239	475
801068	473
307460	459
504239	445
302945	441
504240	441
307460	441
303039	441
306395	409
302945	402
303039	380
303039	379
307460	377
307460	373
302945	373
303039	351
307460	349
302945	349
303039	349
307460	349
307460	347
303039	347
307460	347
303041	345
302945	345
303039	345
302368	343
306465	342
307460	324
302368	323
307460	321
303039	318
307460	318
302945	318
303039	317
303039	317
503883	317
307460	316
302948	316
307460	316
307460	315
303039	315
302948	315
303039	315
302945	314
302945	313
302948	313
303039	313
503884	313
302945	311
307460	310
303039	310
302948	286
306465	286
307460	286
307460	285
307460	285
302945	285
307460	285
302945	285
303024	285
303034	285
303039	285
307460	284
303039	284
307460	284
302945	284
302945	284
302948	284
303024	284
303039	284
303039	284
307460	284
307460	283
303039	283
303026	283
303039	283
307460	283
302945	282
302945	282
303027	282
303027	282
303039	281
303039	281
302945	281
302945	281
307460	280
307460	280
302948	280
307460	279
307460	278
307460	278
307460	278
303021	272
307460	257
306465	255
303039	255
307460	255
302948	255
307460	254
306465	254
303039	254
307460	254
307460	254
302948	254
302948	254
303039	253
302945	253
302945	253
306465	253
307460	253
302948	253
307460	252
307460	252
303024	252
302945	252
302947	252
302945	252
302368	252
303039	252
306465	252
307460	252
303039	252
306465	252
503885	252
302368	252
307460	252
306465	251
303039	251
302945	251
303027	251
306465	251
306465	250
302945	250
306465	250
303039	249
302945	249
302948	249
303030	249
307460	248
302945	248
306465	247
303027	247
303024	238
303024	238
303039	224
303027	224
306465	224
