shape_id,meters
B110027-30,415.8693337
B110027-31,119.4666629
B110027-32,304.6408537
B110027-33,346.5715793
B110027-34,168.0024934
B110027-4,236.9109631
B110027-5,237.2752821
B110027-6,101.5783367
B110027-7,137.1330952
B110027-8,250.6286903
B110027-9,235.1703462
B120094-1,159.4551284
B120094-10,142.8210758
B120094-11,125.7467257
B120094-12,179.7680764
B120094-13,147.654147
B120094-14,191.2966919
B120094-15,130.9487753
B120094-16,268.5870205
B120094-17,242.9815674
B120094-18,208.4901571
B120094-19,160.1479247
B120094-2,300.4205358
B120094-20,187.2982829
B120094-21,100.6177883
B120094-22,197.7715793
B120094-23,144.5137935
B120094-24,179.1291779
B120094-25,146.6808156
B120094-26,89.60051904
B120094-27,134.9533657
B120094-28,170.3339857
B120094-29,172.5958555
B120094-3,141.4454876
B120094-30,172.8162645
B120094-31,279.1760263
B120094-32,226.6305188
B120094-33,121.2041704
B120094-34,461.3718513
B120094-4,237.7365236
B120094-5,289.1543678
B120094-6,246.6191222
B120094-7,205.0476276
B120094-8,196.2016951
B120094-9,246.8079497
B120095-1,439.0797369
B120095-10,153.8857084
B120095-11,184.5360783
B120095-12,91.09313421
B120095-13,219.5912125
B120095-14,216.7044519
B120095-15,244.595793
B120095-16,327.3158334
B120095-17,235.2133323
B120095-18,144.9031935
B120095-19,115.4245154
B120095-2,160.2761825
B120095-20,225.4507964
B120095-21,194.3069629
B120095-22,154.7899101
B120095-23,217.8259534
B120095-24,218.4121477
B120095-25,294.8879747
B120095-26,198.5657997
B120095-27,341.3375929
B120095-28,230.2183893
B120095-29,190.3477886
B120095-3,276.8688438
B120095-30,115.3932164
B120095-4,89.05209948
B120095-5,198.2886824
B120095-6,288.6236578
B120095-7,307.4425299
B120095-8,96.91137358
B120095-9,415.968496
B130135-1,203.8994268
B130135-10,150.7791781
B130135-11,168.7453485
B130135-12,174.3182191
B130135-13,106.0746795
B130135-14,210.0178917
B130135-15,356.8286675
B130135-16,262.1916212
B130135-17,113.4417138
B130135-18,202.5700075
B130135-19,317.0727868
B130135-2,156.3154004
B130135-20,126.5737583
B130135-21,181.6617768
B130135-22,159.2225006
B130135-23,172.397866
B130135-24,156.019678
B130135-25,129.6603063
B130135-26,187.4073155
B130135-27,234.9332584
B130135-28,175.832136
B130135-29,767.8271175
B130135-3,159.0688623
B130135-30,178.1959231
B130135-31,141.1759231
B130135-32,443.2085547
B130135-33,191.3987749
B130135-34,197.8726896
B130135-35,221.8727905
B130135-36,150.0453085
B130135-37,209.3002757
B130135-38,204.5387901
B130135-39,143.3572682
B130135-4,159.860135
B130135-40,144.7729907
B130135-41,129.4149388
B130135-42,154.0020343
B130135-43,175.1579522
B130135-44,168.4367763
B130135-45,149.6609697
B130135-46,60.08734245
B130135-47,180.991524
B130135-48,155.7888782
B130135-49,468.1156794
B130135-5,307.8429292
B130135-50,13.7005373
B130135-51,179.7925662
B130135-52,268.4182479
B130135-53,369.1177446
B130135-54,205.0944378
B130135-55,177.9060644
B130135-56,190.8482047
B130135-57,354.4184435
B130135-58,488.7640503
B130135-59,518.4070555
B130135-6,305.3867085
B130135-7,162.1871107
B130135-8,127.0584739
B130135-9,157.7121124
B130137-1,70.43997277
B130137-10,199.798205
B130137-11,334.3756174
B130137-12,114.895731
B130137-13,91.87134167
B130137-14,114.7915834
B130137-15,170.4582895
B130137-16,157.3228641
B130137-17,185.8712992
B130137-18,348.1833774
B130137-19,136.3074632
B130137-2,543.4221499
B130137-20,175.3900448
B130137-21,257.1244618
B130137-22,135.6754559
B130137-23,350.0919948
B130137-24,190.8509824
B130137-25,263.1822798
B130137-26,216.6982857
B130137-27,198.5868168
B130137-28,170.3671868
B130137-29,228.9202738
B130137-3,255.7695917
B130137-30,158.8719991
B130137-31,818.4641911
B130137-32,170.5816395
B130137-33,206.2623109
B130137-34,229.38427
B130137-35,138.9172532
B130137-36,203.8394525
B130137-37,162.2429151
B130137-38,157.0350864
B130137-39,109.0163104
B130137-4,133.7744772
B130137-40,240.9658914
B130137-41,162.0629278
B130137-42,190.4445675
B130137-43,158.882118
B130137-44,152.4297359
B130137-45,152.3954769
B130137-46,387.1436026
B130137-47,228.0996575
B130137-48,226.886463
B130137-49,168.3768264
B130137-5,186.8770203
B130137-50,151.7213844
B130137-51,159.2260391
B130137-52,128.5817947
B130137-53,111.9373124
B130137-54,150.3171227
B130137-55,229.9087342
B130137-56,358.3928182
B130137-57,165.7569501
B130137-58,140.3773278
B130137-59,246.1620003
B130137-6,195.5079144
B130137-60,420.2528665
B130137-7,186.7180624
B130137-8,178.126815
B130137-9,476.1254712
B140040-1,199.798205
B140040-10,122.3748781
B140040-11,158.2351195
B140040-12,160.5780483
B140040-13,154.9637882
B140040-14,144.1032569
B140040-15,140.4212118
