stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
300107,"86 ST/AV U",,  40.595562, -73.983490,,,0,
300109,"86 ST/AV V",,  40.593719, -73.980431,,,0,
300110,"86 ST/W 8 ST",,  40.592785, -73.978889,,,0,
300111,"86 ST/AV W",,  40.591682, -73.977051,,,0,
300113,"AV X/W 1 ST",,  40.590412, -73.970810,,,0,
300114,"AV X/E 1 ST",,  40.590626, -73.968887,,,0,
300115,"AV X/E 3 ST",,  40.590816, -73.967102,,,0,
300116,"AV X/OCEAN PY",,  40.590996, -73.965546,,,0,
300117,"OCEAN PKY/SHORE PKY",,  40.584782, -73.966957,,,0,
300118,"OCEAN PY/WEST AV",,  40.581615, -73.967400,,,0,
300119,"OCEAN PY/NEPTUNE AV",,  40.580509, -73.967697,,,0,
300120,"OCEAN PY/OCEAN VIEW AV",,  40.578152, -73.968239,,,0,
300122,"BRIGHTON BEACH AV/BRIGHTON 1 PL",,  40.576641, -73.966354,,,0,
300123,"BRIGHTON BEACH AV/BRIGHTON 3 ST",,  40.577011, -73.963783,,,0,
300124,"BRIGHTON BEACH AV/BRIGHTON 6 ST",,  40.577488, -73.961533,,,0,
300126,"BRIGHTON BEACH AV/BRIGHTON 12 ST",,  40.578159, -73.957710,,,0,
300127,"BRIGHTON BEACH AV/BRIGHTON 14 ST",,  40.577450, -73.955376,,,0,
300128,"BRIGHTON BEACH AV/CORBIN PL",,  40.577278, -73.954094,,,0,
300129,"ORIENTAL BL/WEST END AV",,  40.576756, -73.953049,,,0,
300130,"ORIENTAL BL/BEAUMONT ST",,  40.577034, -73.950539,,,0,
300131,"ORIENTAL BL/DOVER ST",,  40.577221, -73.948807,,,0,
300132,"ORIENTAL BL/OCEAN AV",,  40.577374, -73.947395,,,0,
300135,"ORIENTAL BL/KENSINGTON ST",,  40.578056, -73.941231,,,0,
300136,"ORIENTAL BL/MACKENZIE ST",,  40.578072, -73.939957,,,0,
300137,"E 16 ST/QUENTIN RD",,  40.608253, -73.957375,,,0,
300138,"E 16 ST/AV R",,  40.605995, -73.956902,,,0,
300139,"AV R/E 18 ST",,  40.606033, -73.954994,,,0,
300140,"AV R/OCEAN AV",,  40.606262, -73.952888,,,0,
300143,"AV R/BEDFORD AV",,  40.606789, -73.948097,,,0,
300146,"AV R/NOSTRAND AV",,  40.607307, -73.943359,,,0,
300147,"AV R/GERRITSEN AV",,  40.607491, -73.941696,,,0,
300148,"AV R/STUART ST",,  40.608650, -73.941582,,,0,
300150,"AV R/E 31 ST",,  40.610569, -73.938622,,,0,
300151,"AV R/E 33 ST",,  40.611492, -73.937187,,,0,
300152,"AV R/E 35 ST",,  40.612411, -73.935768,,,0,
300153,"AV R/E 36 ST",,  40.612885, -73.935036,,,0,
300154,"E 36 ST/FILLMORE AV",,  40.611423, -73.933327,,,0,
300155,"E 36 ST/AV S",,  40.609798, -73.931526,,,0,
300157,"AV S/RYDER ST",,  40.611042, -73.929214,,,0,
300158,"AV S/COLEMAN ST",,  40.611977, -73.927773,,,0,
300159,"AV S/FLATBUSH AV",,  40.612862, -73.926399,,,0,
300163,"FLATBUSH AV/AV T",,  40.611477, -73.924072,,,0,
300164,"AV S/FLATBUSH AV",,  40.612835, -73.926682,,,0,
300165,"AV S/KIMBALL ST",,  40.611725, -73.928429,,,0,
300166,"AV S/E 38 ST",,  40.610790, -73.929855,,,0,
300167,"AV S/E 36 ST",,  40.609886, -73.931267,,,0,
300168,"E 36 ST/FILLMORE AV",,  40.611332, -73.933006,,,0,
300169,"E 36 ST/AV R",,  40.612957, -73.934822,,,0,
300170,"AV R/E 34 ST",,  40.612171, -73.936401,,,0,
300171,"AV R/E 32 ST",,  40.611252, -73.937836,,,0,
300172,"AV R/MARINE PY",,  40.610317, -73.939270,,,0,
300173,"AV R/BURNETT ST",,  40.609329, -73.940804,,,0,
300174,"AV R/GERRITSEN AV",,  40.608406, -73.942238,,,0,
300175,"AV R/NOSTRAND AV",,  40.607471, -73.943069,,,0,
300178,"AV R/BEDFORD AV",,  40.606956, -73.947815,,,0,
300181,"AV R/OCEAN AV",,  40.606430, -73.952545,,,0,
300182,"QUENTIN RD/E 19 ST",,  40.608692, -73.954826,,,0,
300183,"QUENTIN RD/E 16 ST",,  40.608429, -73.957130,,,0,
300184,"25 AV/HARWAY AV",,  40.593021, -73.992180,,,0,
300185,"25 AV/BATH AV",,  40.594521, -73.990623,,,0,
300186,"25 AV/BENSON AV",,  40.596462, -73.988602,,,0,
300187,"25 AV/84 ST",,  40.598980, -73.985985,,,0,
300188,"25 AV/86 ST",,  40.598202, -73.986801,,,0,
300189,"STILLWELL AV/85 ST",,  40.597458, -73.985512,,,0,
300190,"AV U/W 12 ST",,  40.595810, -73.983231,,,0,
300191,"AV U/W 11 ST",,  40.595966, -73.981804,,,0,
300192,"AV U/W 9 ST",,  40.596169, -73.979980,,,0,
300193,"AV U/W 7 ST",,  40.596317, -73.978607,,,0,
300194,"AV U/W 5 ST",,  40.596596, -73.976082,,,0,
300195,"AV U/MC DONALD AV",,  40.596889, -73.973434,,,0,
300196,"AV U/E 1 ST",,  40.597252, -73.970139,,,0,
300197,"AV U/E 4 ST",,  40.597557, -73.967377,,,0,
300198,"AV U/OCEAN PY",,  40.597721, -73.965874,,,0,
300199,"AV U/E 8 ST",,  40.598080, -73.962631,,,0,
300200,"AV U/CONEY ISLAND AV",,  40.598301, -73.960396,,,0,
300201,"AV U/E 13 ST",,  40.598602, -73.957870,,,0,
300203,"AV U/E 18 ST",,  40.599121, -73.953148,,,0,
300205,"AV U/E 23 ST",,  40.599674, -73.948120,,,0,
300206,"AV U/BEDFORD AV",,  40.599888, -73.946198,,,0,
300207,"AV U/E 28 ST",,  40.600189, -73.943413,,,0,
300208,"AV U/NOSTRAND AV",,  40.600372, -73.941956,,,0,
300209,"AV U/BROWN ST",,  40.600620, -73.939545,,,0,
300210,"AV U/FORD ST",,  40.600819, -73.937721,,,0,
300211,"AV U/BRAGG ST",,  40.600975, -73.936317,,,0,
300212,"AV U/GERRITSEN AV",,  40.601589, -73.935112,,,0,
300213,"AV U/BURNETT ST",,  40.602837, -73.933174,,,0,
300214,"AV U/E 33 ST",,  40.604950, -73.929901,,,0,
300215,"AV U/E 35 ST",,  40.606098, -73.928123,,,0,
300216,"AV U/E 37 ST",,  40.606834, -73.926994,,,0,
300218,"AV U/COLEMAN ST",,  40.608681, -73.924141,,,0,
300219,"AV U/HENDRICKSON ST",,  40.609352, -73.922958,,,0,
300220,"AV U/FLATBUSH AV",,  40.610107, -73.921791,,,0,
300222,"AV U/E 56 ST",,  40.612259, -73.918625,,,0,
300223,"AV U/E 57 ST",,  40.613201, -73.917168,,,0,
300224,"AV U/E 59 ST",,  40.614120, -73.915733,,,0,
300225,"AV U/MILL AV",,  40.615368, -73.913910,,,0,
300226,"AV U/E 64 ST",,  40.616520, -73.912033,,,0,
300227,"AV U/E 66 ST",,  40.617184, -73.911011,,,0,
300228,"AV U/E 69 ST",,  40.619049, -73.908508,,,0,
300229,"AV U/E 71 ST",,  40.619881, -73.907265,,,0,
300240,"AV U/E 71 ST",,  40.619675, -73.907837,,,0,
300241,"AV U/E 69 ST",,  40.619026, -73.908836,,,0,
300242,"AV U/E 66 ST",,  40.617191, -73.911316,,,0,
300244,"AV U/MILL AV",,  40.615223, -73.914268,,,0,
300245,"AV U/E 59 ST",,  40.613857, -73.916466,,,0,
300246,"AV U/E 57 ST",,  40.612892, -73.917961,,,0,
300247,"AV U/E 56 ST",,  40.611969, -73.919395,,,0,
300249,"AV U/FLATBUSH AV",,  40.610054, -73.922356,,,0,
300250,"AV U/HENDRICKSON ST",,  40.609394, -73.923386,,,0,
300251,"AV U/KIMBALL ST",,  40.608204, -73.925179,,,0,
300252,"AV U/E 37 ST",,  40.606823, -73.927307,,,0,
300253,"AV U/E 35 ST",,  40.605862, -73.928795,,,0,
300254,"AV U/E 33 ST",,  40.604919, -73.930244,,,0,
300255,"AV U/STUART ST",,  40.602333, -73.934265,,,0,
300256,"AV U/GERRITSEN AV",,  40.601559, -73.935455,,,0,
300257,"AV U/COYLE ST",,  40.600967, -73.937592,,,0,
300258,"AV U/BATCHELDER ST",,  40.600758, -73.939484,,,0,
300259,"AV U/NOSTRAND AV",,  40.600475, -73.941833,,,0,
300260,"AV U/E 27 ST",,  40.600132, -73.945190,,,0,
300261,"AV U/BEDFORD AV",,  40.599918, -73.947090,,,0,
300262,"AV U/E 23 ST",,  40.599716, -73.948952,,,0,
300263,"AV U/OCEAN AV",,  40.599392, -73.951904,,,0,
300264,"AV U/E 18 ST",,  40.599167, -73.953926,,,0,
300265,"AV U/E 16 ST",,  40.598942, -73.955956,,,0,
300266,"AV U/E 13 ST",,  40.598652, -73.958664,,,0,
300267,"AV U/CONEY ISLAND AV",,  40.598316, -73.961655,,,0,
300268,"AV U/E 8 ST",,  40.598122, -73.963440,,,0,
300270,"AV U/E 5 ST",,  40.597713, -73.967155,,,0,
300271,"AV U/E 2 ST",,  40.597389, -73.970100,,,0,
300272,"AV U/WEST ST",,  40.597248, -73.971367,,,0,
300273,"AV U/MC DONALD AV",,  40.597065, -73.973038,,,0,
300274,"AV U/VAN SICKLEN ST",,  40.596855, -73.974922,,,0,
300275,"AV U/W 5 ST",,  40.596634, -73.976906,,,0,
300276,"AV U/W 8 ST",,  40.596371, -73.979332,,,0,
300277,"AV U/W 10 ST",,  40.596111, -73.981689,,,0,
300278,"AV U/W 12 ST",,  40.595905, -73.983559,,,0,
300280,"25 AV/86 ST",,  40.597679, -73.987556,,,0,
300281,"25 AV/BENSON AV",,  40.595997, -73.989304,,,0,
300282,"25 AV/BATH AV",,  40.594116, -73.991272,,,0,
300283,"25 AV/HARWAY AV",,  40.592907, -73.992523,,,0,
300284,"NARROWS AV/77 ST",,  40.631836, -74.036377,,,0,
300285,"77 ST/COLONIAL RD",,  40.631161, -74.033386,,,0,
300286,"77 ST/RIDGE BL",,  40.630524, -74.030708,,,0,
300287,"77 ST/3 AV",,  40.630005, -74.028519,,,0,
300288,"4 AV/77 ST",,  40.629658, -74.025429,,,0,
300289,"BAY RIDGE PY/4 AV",,  40.630627, -74.024689,,,0,
300290,"BAY RIDGE PY/5 AV",,  40.629498, -74.022812,,,0,
300291,"BAY RIDGE PY/6 AV",,  40.627769, -74.019951,,,0,
300292,"BAY RIDGE PY/7 AV",,  40.627052, -74.018791,,,0,
300293,"BAY RIDGE PY/FT HAMILTON PY",,  40.625816, -74.016716,,,0,
300294,"BAY RIDGE PY/10 AV",,  40.624046, -74.013786,,,0,
300295,"BAY RIDGE PY/11 AV",,  40.622715, -74.011581,,,0,
300296,"BAY RIDGE PY/12 AV",,  40.621384, -74.009377,,,0,
300297,"BAY RIDGE PY/13 AV",,  40.620323, -74.007614,,,0,
300298,"BAY RIDGE PY/14 AV",,  40.618721, -74.004967,,,0,
300299,"BAY RIDGE PY/15 AV",,  40.617661, -74.003204,,,0,
300300,"BAY RIDGE PY/NEW UTRECHT AV",,  40.615482, -73.999611,,,0,
300301,"BAY RIDGE PY/17 AV",,  40.614567, -73.998093,,,0,
