"latitude","longitude","stop_id","stop_name","stop_lat","stop_lon","bus_lines","BoroCode","BoroName","SchoolDist","Pop2010","CountyFIPS","PjAreaCode","PjAreaName","Name","CB2010","CT2010","BCTCB2010","FID_nyct20"","CTLabel","BoroCT2010","CDEligibil","NTACode","NTAName","PUMA","POSTAL"
40.50298299999977,-74.251289,203483,HYLAN BL/CRAIG AV,40.502983,-74.251289,"['S78', 'X17', 'X22A', 'S59', 'X22']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,1014,024401,50244011014,1557,244.01,5024401,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
40.502982999999816,-74.251472,203833,CRAIG AV/HYLAN BL,40.502983,-74.251472,"['X22A', 'X22']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,1013,024401,50244011013,1557,244.01,5024401,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
40.50321599999977,-74.250122,203516,HYLAN BL/CONNECTICUT AV,40.503216,-74.250122,"['S78', 'S59']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,1014,024401,50244011014,1557,244.01,5024401,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
40.50330699999983,-74.248619,203880,HYLAN BL/FINLAY ST,40.503307,-74.248619,"['X22A', 'X22']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,2007,024402,50244022007,1846,244.02,5024402,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
40.50386399999984,-74.246918,201198,HYLAN BL/CARTERET ST,40.503864,-74.246918,"['S78', 'X17', 'X22A', 'S59', 'X22']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,1021,024401,50244011021,1557,244.01,5024401,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
40.504237999999795,-74.245308,200967,MAIN ST/HYLAN BL,40.504238,-74.245308,"['S78', 'S59']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,1020,024401,50244011020,1557,244.01,5024401,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
40.50430699999982,-74.244698,203390,HYLAN BL/CHELSEA ST,40.504307,-74.244698,"['S78', 'X17', 'X22A', 'S59', 'X22']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,1019,024401,50244011019,1557,244.01,5024401,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
40.50435599999982,-74.243546,200968,HYLAN BL/BRIGHTON ST,40.504356,-74.243546,"['S78', 'X22A', 'S59', 'X22']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,2002,024402,50244022002,1846,244.02,5024402,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
40.504577999999825,-74.243355,201196,HYLAN BL/BRIGHTON ST,40.504578,-74.243355,"['S78', 'S59']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,2008,024401,50244012008,1557,244.01,5024401,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
40.50471899999978,-74.24173,200969,HYLAN BL/YETMAN AV,40.504719,-74.24173,"['S78', 'X22A', 'S59', 'X22']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,2000,024402,50244022000,1846,244.02,5024402,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
40.50484799999985,-74.242027,202605,HYLAN BL/YETMAN AV,40.504848,-74.242027,"['S78', 'X17', 'X22A', 'S59', 'X22']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,2009,024401,50244012009,1557,244.01,5024401,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
40.505416999999845,-74.238266,200970,HYLAN BL/SPRAGUE AV,40.505417,-74.238266,"['S78', 'X22A', 'S59', 'X22']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,1011,024402,50244021011,1846,244.02,5024402,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
40.50564999999977,-74.238014,201195,HYLAN BL/SPRAGUE AV,40.50565,-74.238014,"['S78', 'X17', 'X22A', 'S59', 'X22']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,3016,024401,50244013016,1557,244.01,5024401,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
40.50607699999977,-74.234978,200971,HYLAN BL/JOLINE AV,40.506077,-74.234978,"['S78', 'S59']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,1008,024402,50244021008,1846,244.02,5024402,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
40.50629799999983,-74.234779,201194,HYLAN BL/JOLINE AV,40.506298,-74.234779,"['S78', 'S59']",5,Staten Island,31,468106,085,SI11,Charleston-RichmondVly-Tottenvil,Charleston-RichmondVly-Tottenvil,3018,024401,50244013018,1557,244.01,5024401,I,SI11,Charleston-Richmond Valley-Tottenville,3901,10307
